SK_ID_CURR,TARGET,fold_id
100002,1,3
100003,0,1
100004,0,3
100006,0,2
100007,0,0
100008,0,1
100009,0,2
100010,0,4
100011,0,0
100012,0,4
100014,0,0
100015,0,4
100016,0,0
100017,0,2
100018,0,1
100019,0,4
100020,0,0
100021,0,3
100022,0,3
100023,0,3
100024,0,1
100025,0,0
100026,0,3
100027,0,2
100029,0,3
100030,0,0
100031,1,2
100032,0,0
100033,0,4
100034,0,4
100035,0,0
100036,0,3
100037,0,4
100039,0,0
100040,0,3
100041,0,3
100043,0,0
100044,0,3
100045,0,2
100046,0,0
100047,1,4
100048,0,4
100049,1,3
100050,0,1
100051,0,2
100052,0,2
100053,0,2
100054,0,3
100055,0,1
100056,0,0
100058,0,0
100059,0,2
100060,0,0
100061,0,3
100062,0,0
100063,0,4
100064,0,3
100068,0,3
100069,0,3
100070,0,4
100071,0,4
100072,0,4
100073,0,3
100075,0,0
100076,0,3
100077,0,2
100078,0,1
100079,0,3
100080,0,2
100081,0,0
100082,0,0
100083,0,0
100084,0,4
100085,0,3
100086,0,4
100087,0,1
100088,0,3
100089,0,2
100093,0,2
100094,0,1
100095,0,1
100096,1,1
100097,0,1
100098,0,0
100099,0,2
100100,0,3
100101,0,0
100102,0,2
100103,0,1
100104,0,3
100105,0,1
100108,0,0
100110,0,4
100111,0,4
100112,1,1
100113,0,1
100114,0,3
100115,0,3
100116,0,0
100118,0,2
100119,0,4
100120,0,0
100121,0,3
100122,0,0
100123,0,4
100124,0,0
100125,0,2
100126,0,1
100127,0,3
100129,0,0
100130,1,1
100131,0,0
100132,0,4
100133,0,4
100134,0,1
100135,0,1
100136,0,2
100137,0,4
100138,0,3
100139,0,1
100140,0,2
100142,0,2
100143,0,3
100144,0,2
100145,0,2
100146,0,3
100147,0,2
100148,0,3
100149,0,3
100151,0,3
100152,0,3
100153,0,3
100154,0,0
100155,0,0
100156,0,4
100157,0,4
100158,0,2
100159,0,0
100160,1,2
100161,0,1
100162,0,4
100163,0,3
100164,0,2
100165,0,4
100166,0,0
100167,0,2
100173,0,2
100174,0,3
100175,0,2
100176,0,2
100177,0,3
100178,0,2
100179,0,3
100180,0,3
100181,1,4
100182,0,4
100183,0,1
100185,0,1
100186,0,2
100188,0,3
100189,0,4
100190,0,4
100191,0,2
100192,1,2
100193,0,2
100194,0,2
100195,0,1
100196,0,0
100197,0,4
100198,0,2
100199,0,4
100200,0,2
100201,0,1
100202,0,2
100203,0,4
100204,0,3
100205,0,0
100206,0,0
100207,0,1
100208,0,3
100209,1,2
100210,0,2
100211,0,1
100213,0,0
100214,1,0
100215,0,4
100216,0,1
100217,0,4
100218,0,3
100219,0,4
100220,0,2
100221,0,0
100224,0,1
100225,0,1
100226,0,1
100227,0,3
100228,0,3
100229,0,1
100230,0,2
100231,0,3
100233,0,4
100234,0,4
100235,0,2
100236,0,0
100237,0,1
100238,0,1
100239,0,2
100240,0,4
100242,0,4
100243,0,1
100244,0,3
100246,1,3
100247,0,3
100248,0,2
100249,0,3
100250,0,2
100251,0,0
100252,0,3
100254,0,1
100255,0,1
100257,0,1
100258,0,0
100259,0,2
100260,0,1
100261,0,0
100262,0,0
100263,0,0
100264,0,4
100265,0,0
100266,0,2
100267,0,3
100268,0,4
100269,0,4
100270,0,0
100272,0,3
100273,1,0
100274,0,2
100275,0,3
100276,0,3
