stage,model,fold_id,auc,n_train,n_valid,n_features
s6_avg,stacking,0,0.773922395036863,246008,61503,4
s6_avg,stacking,1,0.7753976297032692,246009,61502,4
s6_avg,stacking,2,0.7766018496099865,246009,61502,4
s6_avg,stacking,3,0.7788002085668181,246009,61502,4
s6_avg,stacking,4,0.7807873538100094,246009,61502,4
s6_stack,stacking,0,0.7774147213308256,246008,61503,4
s6_stack,stacking,1,0.7786198848009076,246009,61502,4
s6_stack,stacking,2,0.780093325689042,246009,61502,4
s6_stack,stacking,3,0.7820177933010067,246009,61502,4
s6_stack,stacking,4,0.7839257062379508,246009,61502,4
